ID,District,pH,TN,P2O5,K2O,OM,Sand,Clay,Silt,Longitude,Latitude,Dataset,SN,Texture_class,B,Zn,Source,Year,Palika,Ward.Numbe,Nepal_cropmask1,lyrid,upper_depth,lower_depth
8B066568,Gulmi,7.090000153,0.06,297,557.76,1.73,14.28,37,48.72,83.3167,28.129,Legacy_Data,7656,,NA,NA,NLUP,2075,NA,NA,NA,8B066568_1,0,20
8B07CA01,Nawalparasi,5.8299999,0.15,147.625,189.85,1.76,NA,NA,NA,84.2592,27.6888,Legacy_Data,19097,LOAM,NA,NA,NLUP,2074,NA,NA,NA,8B07CA01_1,0,20
8B087F2F,Bara,5,0.02,25,168,0.42,52,25,23,85.0561,26.918,Legacy_Data,3172,sandy loam,0.46,0.14,NLUP,2074,NA,NA,NA,8B087F2F_1,0,20
8B08B07A,Kapilvastu,5.5,0.2,206.7,64.8,4.54,33.2,13.7,53.1,83.1704,27.6491,Legacy_Data,12076,SIL,0.8,0.05,NLUP,2074,NA,NA,NA,8B08B07A_1,0,20
8B0FAD98,Dhadhing,5.72,0.25,30.05,258,4.9,10.5,41.7,47.8,85.1443,27.6998,Legacy_Data,5497,Silty clay,NA,NA,NLUP,2077,NA,NA,NA,8B0FAD98_1,0,20
8B150246,Baglung-Parbat,4.75,0.27,16.18,290.8,5.47,60,14,26,83.4949,28.2143,Legacy_Data,493,SANDY LOAM,NA,NA,NLUP,2076,NA,NA,NA,8B150246_1,0,20
8B1C5A6A,Rolpa,6.22,0.06,298.9,1012,1.98,64,12,24,82.4097,28.4627,Legacy_Data,24138,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8B1C5A6A_1,0,20
8B1E3903,Sunsari,7,0.12,82,233,2.5,NA,NA,NA,87.1239,26.6444,Legacy_Data,28543,silty clay,1.07,1.08,NLUP,2074,NA,NA,NA,8B1E3903_1,0,20
8B1ED5BA,Bara,6,0.08,11.55,120.6,2.29,40.4,21.96,37.64,85.134,27.0343,Legacy_Data,2844,Loam,NA,NA,NLUP,2074,NA,NA,NA,8B1ED5BA_1,0,20
8B21414C,Bara,7.8000002,0.11,44.27,56.3,2.05,44.5,15.5,40,85.1017,27.0168,Legacy_Data,2733,Loam,3.95,0.94,NLUP,2074,NA,NA,NA,8B21414C_1,0,20
8B24C4B5,Makwanpur,6.93,0.15,153.05,244.49,6.24,53.49,10,36.51,85.1669,27.6232,Legacy_Data,15690,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8B24C4B5_1,0,20
8B258EA2,Panchthar,4.91,0.14,443.09,117.33,3.03,11.27,18,70.73,87.7635,27.1454,Legacy_Data,21262,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,8B258EA2_1,0,20
8B2D2A44,Sankhuwasabha,5.6999998,0.36,31.56,415.4,7.27,65.44,8.92,25.64,87.3916,27.2033,Legacy_Data,25927,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8B2D2A44_1,0,20
8B2DB393,Sarlahi,8.3999996,0.08,16.11,241.2,1.67,35.2,10.8,54,85.6433,26.99,Legacy_Data,26504,SiL,0.05,NA,NLUP,2074,NA,NA,NA,8B2DB393_1,0,20
8B3007C8,Morang,5.9000001,0.06,58.6,200.14,1.15,41.3,21,38,87.4917,26.7861,Legacy_Data,16817,Loam,0.53,1.89,NLUP,2074,NA,NA,NA,8B3007C8_1,0,20
8B304BEB,Salyan,6.66,0.08,161.34,63,3.54,43.35,19.4,37.25,82.2665,28.4154,Legacy_Data,25391,Loam,0.98,0.67,IWRMP,2074,NA,NA,NA,8B304BEB_1,0,20
8B3434F9,Sindhupalchowk,6.4,0.08,22.15,110.4,1.66,72.9,21.5,5.6,85.7697,27.882,Legacy_Data,27348,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8B3434F9_1,0,20
8B359071,Bara,6.8800001,0.15,22.9,157.44,3.08,44,35,21,84.9232,27.0105,Legacy_Data,3202,Clay loam,0.72,1.21,NLUP,2074,NA,NA,NA,8B359071_1,0,20
8B3AE221,Myagdi,6.4,0.35,NA,833.28,7.04,NA,NA,NA,83.4791,28.3993,Legacy_Data,18333,clay loam,NA,NA,SMD,NA,NA,NA,NA,8B3AE221_1,0,20
8B3C2AE6,Nawalparasi,5.8000002,0.06,46.1,107.5,3.1,75.44,6.4,18.16,83.812,27.5171,Legacy_Data,19311,Sandy Loam,NA,NA,NLUP,2074,NA,NA,NA,8B3C2AE6_1,0,20
8B45EE9B,Nawalparasi,6.4000001,0.13,41,120.9,4.14,64.16,15.84,20,83.9133,27.5651,Legacy_Data,19494,Sandy Loam,NA,NA,NLUP,2074,NA,NA,NA,8B45EE9B_1,0,20
8B49A813,Morang,7.0999999,0.01,3.1,67,0.22,51.2,NA,48.8,87.4087,26.5198,Legacy_Data,16628,SL,0.64,0.03,NLUP,2074,NA,NA,NA,8B49A813_1,0,20
8B4E6539,Banke,6.6999998,0.14,132,242,2.85,20,40,40,81.6958,28.1313,Legacy_Data,1854,Clay,0.11,1.06,NLUP,2074,NA,NA,NA,8B4E6539_1,0,20
8B5003DD,Rolpa,6.18,0.05,249.5,810.7,0.97,77,10,14,82.8054,28.3407,Legacy_Data,23904,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8B5003DD_1,0,20
8B511B26,Mahottari,5.4000001,0.06,16.968,20.66,1,49.7,16,34.3,85.8532,26.9076,Legacy_Data,14475,Loam,0.55,0.24,NLUP,2074,NA,NA,NA,8B511B26_1,0,20
8B51BE08,Bara,6.0999999,0.14,39,144,2.83,75,12,13,85.0672,26.9445,Legacy_Data,3264,loamy sand,0.43,0.33,NLUP,2074,NA,NA,NA,8B51BE08_1,0,20
8B559E52,Sarlahi,6.8000002,0.15,30.25,335.6,3,24.9,9.6,65.5,85.6762,27.0477,Legacy_Data,26468,SiL,0.07,0.02,NLUP,2074,NA,NA,NA,8B559E52_1,0,20
8B59DD36,Salyan,6.43,0.04,421.77,196.44,1.93,70.85,8.4,20.75,82.1909,28.5635,Legacy_Data,25233,Sandy Loam,0.44,0.37,IWRMP,2074,NA,NA,NA,8B59DD36_1,0,20
8B5B5770,Banke,NA,0.03,1,65.88,0.22,43.5,8.8,47.7,81.5827,28.151,Legacy_Data,1763,L,5.3,0.48,NLUP,2074,NA,NA,NA,8B5B5770_1,0,20
8B5E3096,Surkhet,7.6999998,0.11,3.404,203.3,2.15,4.6,29.3,66.1,81.3732,28.8117,Legacy_Data,28920,Silt Clay Loam,NA,NA,NLUP,2075,NA,NA,NA,8B5E3096_1,0,20
